id;mode_envoi_preconise;mode_livraison_exige;delai_de_traitemen_souhaite;adresse_livraison;delai_de_traitemen_prestataire;observation;date_creation;date_cloture;etat
1;EMAIL;COURRIERPOSTAL;35238;feed Soft Delesseux;71147;deposit Languedoc-Roussillon Palladium;2023-04-15;2023-04-15;DevisRejete
2;EMAIL;REMISEENMAINSPROPRES;8223;a Tasty;5384;Music;2023-04-16;2023-04-15;EncoursTratitement
3;EMAIL;REMISEENMAINSPROPRES;50635;Incredible;96933;partnerships;2023-04-16;2023-04-15;DevisRejete
4;EMAIL;COURRIERPOSTAL;26033;platforms la;66212;Cambridgeshire Account;2023-04-16;2023-04-16;Devis
5;COURRIERPOSTAL;COURRIERPOSTAL;31532;Analyste;47923;black;2023-04-16;2023-04-15;EncoursTratitement
6;EMAIL;REMISEENMAINSPROPRES;64590;online;8935;bandwidth-monitored online;2023-04-15;2023-04-16;Initiee
7;EMAIL;REMISEENMAINSPROPRES;3848;Silver;35659;revolutionary deposit;2023-04-15;2023-04-15;DevisRejete
8;EMAIL;COURRIERPOSTAL;2892;24/7;74826;a copying;2023-04-15;2023-04-15;Annulee
9;COURRIERPOSTAL;EMAIL;87397;driver Designer customized;68319;withdrawal b;2023-04-16;2023-04-15;DevisRejete
10;EMAIL;REMISEENMAINSPROPRES;90494;THX;33893;Soap Clothing Concrete;2023-04-15;2023-04-16;Close
